Parent SKU,Title,Description,Main Image,Extra Image(s),Variation Image,SKU,Currency,Price,Shipping,Reference Price,Quantity,Barcode,Color,Size,Tags,Brand,Condition,Customs HS Code,Weight,AU,BE,BR,CA,CL,DE,ES,FI,FR,GB,IT,JP,KR,MX,NL,NO,SE,US
SKU_with_variations,Sleeveless High and Low Chiffon Dress,"Simple, shining accessories take this easy asymmetrical dress from day to evening in a snap. Color: Mint Green- Size Available : XS, S, M,L, XL --- Back Length : XS: 116 cm , S:118 cm, M: 120 cm, L: 122 cm , XL: 124 cm-- Bust: XS: 82 cm, S: 86 cm, M: 90 cm, L: 94, XL:98 cm-- Waist: XS: 62 cm, S: 66 cm, M: 70 cm, L: 74 cm, XL: 78 cm-- Shoulder : XS:36 cm, S: 37 cm, M: 38 cm, L:39 cm, XL: 40 cm",https://canary.contestimg.wish.com/api/webimage/5910d935341185564aa7f0e1-original.jpg,https://canary.contestimg.wish.com/api/webimage/5910d935341185564aa7f0e1-original.jpg | https://canary.contestimg.wish.com/api/webimage/5910d935341185564aa7f0e1-original.jpg,https://canary.contestimg.wish.com/api/webimage/5910d935341185564aa7f0e1-original.jpg,TG-088_Mint_XS,USD,10,5,25,125,,Mint,XS,"High and low dress, chiffon dress, dress, asymmetrical dress, Beautiful dress, Women's Fashion, Summer Fashion, sleeveless chiffon",,,,,disable,1.99,1.99,,1.99,1.99,,1.99,1.99,,1.99,1.99,,1.99,1.99,,1.99,1.99
SKU_with_variations,,,,,,TG-088_Mint_S,USD,10,,,200,,Mint,S,,,,,,,,,,,,,,,,,,,,,,,
SKU_with_variations,,,,,https://canary.contestimg.wish.com/api/webimage/5910d935341185564aa7f0e1-original.jpg,TG-088_Mint_M,USD,15,,,200,,Mint,M,,,,,,,,,,,,,,,,,,,,,,,
SKU_with_variations,,,,,https://canary.contestimg.wish.com/api/webimage/5910d935341185564aa7f0e1-original.jpg,TG-088_Mint_L,USD,15,,,200,,Mint,L,,,,,,,,,,,,,,,,,,,,,,,
SKU_with_variations,,,,,,TG-088_Mint_XL,USD,21,,,200,,Mint,XL,,,,,,,,,,,,,,,,,,,,,,,
SKU_with_variations,,,,,,TG-088_Pink_XS,USD,10,,,200,,Pink,XS,,,,,,,,,,,,,,,,,,,,,,,
SKU_with_variations,,,,,,TG-088_Pink_S,USD,15,,,200,,Pink,S,,,,,,,,,,,,,,,,,,,,,,,
SKU_with_variations,,,,,,TG-088_Pink_M,USD,15,,,200,,Pink,M,,,,,,,,,,,,,,,,,,,,,,,
SKU_with_variations,,,,,,TG-088_Pink_L,USD,20,,,200,,Pink,L,,,,,,,,,,,,,,,,,,,,,,,
SKU_without_variation,Home Decor Stylish Mirror,A modern mirror designed to fit perfectly for the modern living room aesthetic,https://canary.contestimg.wish.com/api/webimage/5f2dc85b5b1c88bf5f04b76b-original.jpg,,,MK_111_Mirror,USD,19,4,25,1000,,,,"Mirror, home, decor, living room, modern",,NEW,,,,,,,,,,,,,,,,,,,,
