Parent SKU,Name,Description,SKU,Price,Inventory,Color,Variation Image,Unit,Quantity Value,Reference Value,Length,Width,Height,Weight
TG-088,Beautiful Sleeveless High and Low Chiffon Dress,"Simple, shining accessories take this easy asymmetrical dress from day to evening in a snap. Color: Mint Green- Size Available : XS, S, M,L, XL ",TG-088_Mint_XS,11,125,,https://canary.contestimg.wish.com/api/webimage/5910d935341185564aa7f0e1-original.jpg,,,,3,3,3,3
,,,TG-088_Mint_S,11,200,,,,,,3,3,3,3
,,,TG-088_Mint_M,16,200,,https://canary.contestimg.wish.com/api/webimage/5910d935341185564aa7f0e1-original.jpg,,,,3,3,3,3
,,,TG-088_Mint_L,16,200,,https://canary.contestimg.wish.com/api/webimage/5910d935341185564aa7f0e1-original.jpg,,,,3,3,3,3
,,,TG-088_Mint_XL,22,200,,,,,,3,3,3,3
,,,TG-088_Pink_XS,11,200,,,,,,3,3,3,3
,,,TG-088_Pink_S,16,200,,,,,,3,3,3,3
,,,TG-088_Pink_M,16,200,,,,,,3,3,3,3
,,,TG-088_Pink_L,21,200,,,,,,3,3,3,3
MK-111,Home Decor Stylish Grey Mirror ,A grey modern mirror designed to fit perfectly for the modern living room aesthetic,MK_111,20,1000,Grey,,,,,4,4,4,4
SKU_with_unit_price,Women’s perfume,"Perfume infused with vanilla, lily, and apple.",Perfume_Small,23,100,,https://canary.contestimg.wish.com/api/webimage/5910d935341185564aa7f0e1-original.jpg,FLUID OUNCE,1.7,1,,,,
